"path","bytes","lines","sha256","assessment","","","","","","","","","","","","","","",""
".agents/rules/project-context.md","4451","66","9f5c12c7a333d1787d70506b5e8d65c2da27d0cca1d59f4844811912d5717266","Architecture/context rule; inherited novelty claims are not research evidence.","","","","","","","","","","","","","","",""
".gitignore","3227","120","0e07e59e553ad44fb951361f6487f18d169d8735cfbc1da274936efc207a3c0a","Excludes plans, model/data artifacts and generated files; all locally present ignored files inspected.","","","","","","","","","","","","","","",""
"CodeBase/README.md","5256","113","51dc6a0707b0557d35552388421d73dc0a60ce5fa493e53461efce4fc0a532e6","Repository map and setup instructions; referenced hub entry point absent.","","","","","","","","","","","","","","",""
"CodeBase/assets/avatar/clips/README.md","767","28","ac25869dfd22df0d36f54843ac52f8b427ef69fbba8699ecb88468674f62bbf0","Expected media assets only; no local playable assets present.","","","","","","","","","","","","","","",""
"CodeBase/assets/sounds/README.md","267","10","be9e8dd72095e53f0381be7fde3c7a0b9e2e9808d10371ef4b880de98e888409","Expected media assets only; no local playable assets present.","","","","","","","","","","","","","","",""
"CodeBase/cloud/README.md","1054","26","a0d29c9ab2050b56097ac55e122c853e11dee616793b3e702e28ad53db29973e","Relay plan; no-content-storage claim conflicts with offline persistence when read literally.","","","","","","","","","","","","","","",""
"CodeBase/cloud/mqtt/mosquitto.conf","1867","40","6e529d7424646f0b550a716b3a0e80d629ca4e552d8a91138763647ca806af81","TLS/authentication/persistence template; actual certificates, ACL and deployment evidence absent.","","","","","","","","","","","","","","",""
"CodeBase/docs/README.md","313","9","4872198a2343870c061915aced6dad6c86101f191247f3f962fc4bfa7b2793bc","Component architecture/directory specification; no executable implementation alongside this README.","","","","","","","","","","","","","","",""
"CodeBase/docs/api/README.md","391","11","e930aa896c53ec9e47684f6dac8ccac10fa5bfc5d62dbd48e59aa095596c7a65","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/docs/hardware/README.md","571","14","c30fba030d49c765b90a6795fc9074ff8a945eb62d54396594e0c9b6e78da640","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/README.md","2353","43","be7c3ced82ee2e0392a4026d7b8772abf8655f4d3b93d7748fb5152de170ce0c","Component architecture/directory specification; no executable implementation alongside this README.","","","","","","","","","","","","","","",""
"CodeBase/hub/config/config.example.yaml","2903","82","93ac8f95a23834341a16d1bb5c90f599b16c2264badc08f951286ec6de6be6cf","Example hub/module/speech/security settings; no implementation or runtime result.","","","","","","","","","","","","","","",""
"CodeBase/hub/converters/README.md","493","12","df1f810ffe31b4d30d5157489fcbe8f57f8d026ea48ed0719c50ae4f0491957f","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/core/README.md","422","11","2194b8a1f279aa35dc7908e3d28870e71ca34815ca29efba37c26bc9af0509bd","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/health/README.md","363","10","52deed92639de60283ee4b103af10da5a709c9ebd376aa086616049ee6c6c3e1","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/networking/README.md","485","12","6678b26b4d88a7a79d5b90122128203e7a15ee2ede85d2731aa46386123ee69e","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/stt/README.md","551","17","b8617f9ab5589ed2908af5b0bea348f5c07c5702b1347278d5f8e5443bb1d552","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/tts/README.md","439","16","ec64f678bd34e7071d729c773582d4063343087a4bb1b4b85e64efdc9f91bc3a","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/hub/ui/README.md","575","20","1a5db20a565a8b05bacac96ab4c4d22bdb7c2ed1616ee68cc9299beae63630c7","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/ml/README.md","1841","43","5e8b158dafaa665215e121469f1899ab8685ecf5de8fb431e5ea809a96ba154c","Component architecture/directory specification; no executable implementation alongside this README.","","","","","","","","","","","","","","",""
"CodeBase/ml/datasets/processed/README.md","410","11","0cc865558f9736c42157182454fb3cc56d7693eaa11e99375f3abb5a531ae735","Dataset format specification only; no local dataset samples present.","","","","","","","","","","","","","","",""
"CodeBase/ml/datasets/raw/README.md","602","13","5e90545775cf043cfdc2c8528a71626ac8a78941629649ed2242748d125e7165","Dataset format specification only; no local dataset samples present.","","","","","","","","","","","","","","",""
"CodeBase/ml/evaluation/README.md","295","9","a009262d6effece465244b947268ce126700e94ba98d8613948914d8ffa0d186","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/ml/models/architectures/README.md","362","10","03e1a8d6439e3bb18085a8a9592f76354b0cec35cae19538b438e91df19b671c","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
"CodeBase/ml/models/trained/README.md","470","12","d5e2cd5d8b775d953115f4b63291aff42f6274ad776081ee7ddd530984c7092b","Expected trained-model files only; no local weights or training logs present.","","","","","","","","","","","","","","",""
"CodeBase/ml/training/README.md","417","10","04074644dff642b5ad7d46006988735530344211b545deaa3e452f3d4b896ac1","README specification of future files; corresponding implementation absent in this directory.","","","","","","","","","","","","","","",""
