ID,Paper,Year,Venue,Peer Reviewed?,Research Problem,System / Method,Modalities,Remote?,Capability Awareness?,Cross-Modal?,Bidirectional?,Presentation Tracking?,Flow Control / Pacing?,Recovery?,Human Evaluation?,Major Findings,Limitations,Relevance to AMP,DOI / Official URL,Evidence Level
P01,PARLOMA – A Novel Human-Robot Interaction System for Deaf-Blind Remote Communication,2015,International Journal of Advanced Robotic Systems,Yes (journal/conference publication),Remote tactile communication,"PARLOMA: depth sensing, networked ROS components and robotic hand",Manual alphabet / robotic tactile hand,Yes,Hardware abstraction; not negotiated user profile,Yes,Proposed two-endpoint architecture; demonstration narrower,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; limited tactile evaluation,Demonstrates remote reproduction of recognized hand shapes.,Restricted hand-shape vocabulary; not general sign-language translation.,Remote assistive communication and hardware abstraction precede AMP.,https://doi.org/10.5772/60416,Full text
P02,Publish-Subscribe Architecture for Delivering Assistance to Visually Impaired People,2016,IFAC-PapersOnLine,Yes (journal/conference publication),Remote assistance to visually impaired users,Publish-subscribe assistance architecture,Images/video/location and returned assistance messages,Yes,Not reported / not verified,Partial; assistance information transformation,Request and response,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not verified,Uses MQTT to connect assistance consumers and providers.,Assessment based on abstract only; detailed delivery lifecycle not verified.,MQTT-based assistive routing is established.,https://doi.org/10.1016/j.ifacol.2016.11.145,Abstract only
P03,Bidirectional Braille-speech Communication System for Deafblind Students,2024,Journal on Efficiency and Responsibility in Education and Science,Yes (journal/conference publication),Braille–speech communication,Bidirectional prototype with tactile output and speech processing,Braille / speech,Not established,Not reported / not verified,Yes,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,"Yes; surrogate evaluation, not Deafblind users",Demonstrates conversion and prototype trials.,No Deafblind participants: sighted/hearing trials and simulated impairment. Alternating use and surface contact constrain interaction.,Bidirectional Braille–speech conversion is prior art; target-user effectiveness is not demonstrated here.,https://doi.org/10.7160/eriesj.2024.170206,Full text
P04,AACrobat: Using Mobile Devices to Lower Communication Barriers and Provide Autonomy with Gaze-Based AAC,2017,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,Yes (journal/conference publication),Autonomy and partner assistance in gaze AAC,AACrobat: gaze device and mobile companion linked through cloud data,Gaze / text / speech,Distributed architecture; co-located study,User controls; no general capability handshake verified,Yes,Partner contribution supported,Typing/speaking status; not durable render checkpoints,Not reported / not verified,Not reported / not verified,Yes,Supports user-controlled partner collaboration and visibility into communication state.,Studied primarily co-located; distributed implementation does not establish remote conversational effectiveness.,"AAC already includes distributed heterogeneous devices, preferences and conversation state.",https://doi.org/10.1145/2998181.2998215,Full text
P05,Vibration-based communication for deafblind people,2022,2022 IEEE Haptics Symposium (HAPTICS),Yes (journal/conference publication),Nonvisual and nonauditory communication,MIO Android vibration interface,Morse-like touch input / vibration output,Not reported / not verified,Not reported / not verified,Yes,Local input/output,User playback controls; not delivery lifecycle,Not reported / not verified,Not reported / not verified,Yes; Deafblind users,Explores customizable local communication with Deafblind users.,Remote networked protocol not evaluated; usability varies. Replay requests do not establish automatic crash recovery.,"Accessible pacing, customization and replay needs have assistive precedents.",https://doi.org/10.1109/HAPTICS52432.2022.9765570,Full text
P06,SymbolChat: A flexible picture-based communication platform for users with intellectual disabilities,2012,Interacting with Computers,Yes (journal/conference publication),Communication access for people with intellectual disabilities,SymbolChat customizable picture messaging,Pictures and configurable input/output,Yes,Interface adaptability; negotiation unclear,Partial; representation adaptation,Messaging,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; field study reported,Describes remote messaging adapted to individual needs.,Assessment based on abstract only; wire protocol and recovery not verified.,Remote accessible messaging and interface adaptation predate AMP.,https://doi.org/10.1016/j.intcom.2012.06.003,Abstract only
P07,"Remote communication for people with disabilities: Support persons’ views on benefits, challenges, and suggestions for technology development",2020,Technology and Disability,Yes (journal/conference publication),Benefits and barriers of remote communication,Qualitative study of support persons,Multiple remote communication technologies,Study context,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; support persons,Finds social and practical support needs alongside technology barriers.,"Support-person accounts are proxy evidence, not protocol benchmarks.",Communication success depends on support and access conditions.,https://doi.org/10.3233/TAD-190254,Full text
P08,Augmentative and Alternative Communication and digital participation,2023,Frontiers in Communication,Yes (journal/conference publication),AAC and digital participation,Conceptual discussion,AAC / digital media,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Connects communication access to digital participation.,Assessment based on abstract only; not an evaluated new protocol.,AAC participation motivates requirements beyond device connection.,https://doi.org/10.3389/fcomm.2023.1180257,Abstract only
P09,A Systematic Review of Ability-diverse Collaboration through Ability-based Lens in HCI,2024,Proceedings of the CHI Conference on Human Factors in Computing Systems,Yes (journal/conference publication),Ability-diverse collaboration research,Systematic literature review using an ability-based lens,Various collaborative modalities,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Secondary synthesis,Synthesizes how abilities and collaboration are represented in HCI.,Its reviewed corpus is not the search corpus of this dossier.,Mixed-ability collaboration is an established research field.,https://doi.org/10.1145/3613904.3641930,Full text
P10,Understanding How Accessibility Practices Impact Teamwork in Mixed-Ability Teams that Collaborate Virtually,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,Yes (journal/conference publication),Accessibility practices in virtual mixed-ability teams,Qualitative interview study,Remote collaboration tools,Yes; study context,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes,Examines how accessibility practices affect teamwork.,"Qualitative contextual evidence, not controlled transport evaluation.",User agency and team practices must inform AMP preference controls.,https://doi.org/10.1145/3772318.3790419,Full text
