Search ID,Database/Source,Search Query,Date Searched,Results Inspected,Relevant Studies Retained
A,Web search (discovery; not direct database search),"""cross-disability"" ""communication"" protocol OR system",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
B,Web search (discovery; not direct database search),deafblind remote bidirectional communication system Braille speech 2020 2026,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
C,Web search (discovery; not direct database search),W3C multimodal architecture distributed lifecycle DoneNotification pause resume,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
D,Web search (discovery; not direct database search),accessibility preference capability negotiation GPII universal remote console ISO 24752,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
E,Web search (discovery),semantic interoperability IoT middleware multimodal EMMA intermediate representation,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
F,Web search (discovery),adaptive multimodal output selection user preference service composition architecture,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
G,Web search (discovery),MQTT assistive communication middleware visually impaired publish subscribe architecture,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
H,Web search (discovery),presentation acknowledgment displayed XMPP message markers W3C multimodal,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
I,Web search (discovery),receiver driven flow control Reactive Streams AMQP slow consumers backpressure,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
J,Web search (discovery),MQTT deadline aware scheduling slow subscriber flow control research,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
K,Web search (discovery),partial message presentation recovery deafblind interruption messaging checkpoint,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
L,Web search (discovery),AAC remote communication conversation turn taking delay interface 2020 2025,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
M,Web search (discovery),site.rfc-editor.org accessibility real time text total conversation deaf blind 5194 8865,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
N,Web search (discovery),AAC remote communication interoperability asynchronous messaging study 2020 2025 site:dl.acm.org,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
O,Web search (discovery),mixed ability communication accessibility preferences remote ASSETS CHI CSCW 2020 2026,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
P,Web search (discovery),assistive edge computing distributed multimodal communication deafblind middleware,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
N2,Web search (discovery),AAC remote communication messaging turn taking site:dl.acm.org/doi,2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
B2,Web search (discovery),"""deafblind"" ""remote"" ""communication"" robotic hand Russo",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
J2,Web search (discovery),"""MQTT"" ""scheduling"" ""deadline""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
D2,Web search (discovery),"""GPII"" ""preferences"" paper personalization infrastructure",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
